,t,z,Precipitation (mm),AirTemp (DegC),WindSpeed_Avg (m/s),EVI,sum_rain_10,sum_rain_20,sum_rain_30,sum_rain_40,sum_rain_50,sum_rain_60,sum_rain_70,sum_rain_80,sum_rain_90,sum_rain_100,water_content,time
6795,2265,0.3048,0.0,15.746666666666668,0.4566666666666667,4485.276041666667,0.0,0.0,0.0339999999999982,2.9749999999999983,3.314999999999997,4.521999999999999,4.521999999999999,4.521999999999999,4.521999999999999,4.521999999999999,0.2024166666666667,2024-03-23 09:00:00
6796,2265,0.5588,0.0,15.746666666666668,0.4566666666666667,4485.276041666667,0.0,0.0,0.0339999999999982,2.9749999999999983,3.314999999999997,4.521999999999999,4.521999999999999,4.521999999999999,4.521999999999999,4.521999999999999,0.245,2024-03-23 09:00:00
6797,2265,0.762,0.0,15.746666666666668,0.4566666666666667,4485.276041666667,0.0,0.0,0.0339999999999982,2.9749999999999983,3.314999999999997,4.521999999999999,4.521999999999999,4.521999999999999,4.521999999999999,4.521999999999999,0.248,2024-03-23 09:00:00
6798,2266,0.3048,0.0,17.141666666666666,0.5665,4486.151041666667,0.0,0.0,0.0169999999999982,2.9749999999999983,3.076999999999997,4.521999999999999,4.521999999999999,4.521999999999999,4.521999999999999,4.521999999999999,0.202,2024-03-23 10:00:00
6799,2266,0.5588,0.0,17.141666666666666,0.5665,4486.151041666667,0.0,0.0,0.0169999999999982,2.9749999999999983,3.076999999999997,4.521999999999999,4.521999999999999,4.521999999999999,4.521999999999999,4.521999999999999,0.2445416666666666,2024-03-23 10:00:00
6800,2266,0.762,0.0,17.141666666666666,0.5665,4486.151041666667,0.0,0.0,0.0169999999999982,2.9749999999999983,3.076999999999997,4.521999999999999,4.521999999999999,4.521999999999999,4.521999999999999,4.521999999999999,0.248,2024-03-23 10:00:00
6801,2267,0.3048,0.0,18.341666666666665,0.6968333333333333,4487.026041666667,0.0,0.0,0.0,2.9749999999999983,2.9749999999999965,4.521999999999999,4.521999999999999,4.521999999999999,4.521999999999999,4.521999999999999,0.202,2024-03-23 11:00:00
6802,2267,0.5588,0.0,18.341666666666665,0.6968333333333333,4487.026041666667,0.0,0.0,0.0,2.9749999999999983,2.9749999999999965,4.521999999999999,4.521999999999999,4.521999999999999,4.521999999999999,4.521999999999999,0.244375,2024-03-23 11:00:00
6803,2267,0.762,0.0,18.341666666666665,0.6968333333333333,4487.026041666667,0.0,0.0,0.0,2.9749999999999983,2.9749999999999965,4.521999999999999,4.521999999999999,4.521999999999999,4.521999999999999,4.521999999999999,0.248,2024-03-23 11:00:00
6804,2268,0.3048,0.0,19.891666666666666,0.703,4487.901041666667,0.0,0.0,0.0,0.1019999999999982,2.9749999999999965,4.521999999999999,4.521999999999999,4.521999999999999,4.521999999999999,4.521999999999999,0.202,2024-03-23 12:00:00
6805,2268,0.5588,0.0,19.891666666666666,0.703,4487.901041666667,0.0,0.0,0.0,0.1019999999999982,2.9749999999999965,4.521999999999999,4.521999999999999,4.521999999999999,4.521999999999999,4.521999999999999,0.2437916666666666,2024-03-23 12:00:00
6806,2268,0.762,0.0,19.891666666666666,0.703,4487.901041666667,0.0,0.0,0.0,0.1019999999999982,2.9749999999999965,4.521999999999999,4.521999999999999,4.521999999999999,4.521999999999999,4.521999999999999,0.248,2024-03-23 12:00:00
6807,2269,0.3048,0.0,20.368333333333336,0.6901666666666667,4488.776041666667,0.0,0.0,0.0,0.0849999999999982,2.9749999999999965,4.453999999999999,4.521999999999999,4.521999999999999,4.521999999999999,4.521999999999999,0.202,2024-03-23 13:00:00
6808,2269,0.5588,0.0,20.368333333333336,0.6901666666666667,4488.776041666667,0.0,0.0,0.0,0.0849999999999982,2.9749999999999965,4.453999999999999,4.521999999999999,4.521999999999999,4.521999999999999,4.521999999999999,0.2434999999999999,2024-03-23 13:00:00
6809,2269,0.762,0.0,20.368333333333336,0.6901666666666667,4488.776041666667,0.0,0.0,0.0,0.0849999999999982,2.9749999999999965,4.453999999999999,4.521999999999999,4.521999999999999,4.521999999999999,4.521999999999999,0.248,2024-03-23 13:00:00
6810,2270,0.3048,0.0,21.19833333333333,0.5983333333333333,4489.651041666667,0.0,0.0,0.0,0.0849999999999982,2.9749999999999965,4.317999999999999,4.521999999999999,4.521999999999999,4.521999999999999,4.521999999999999,0.202,2024-03-23 14:00:00
6811,2270,0.5588,0.0,21.19833333333333,0.5983333333333333,4489.651041666667,0.0,0.0,0.0,0.0849999999999982,2.9749999999999965,4.317999999999999,4.521999999999999,4.521999999999999,4.521999999999999,4.521999999999999,0.2434999999999999,2024-03-23 14:00:00
6812,2270,0.762,0.0,21.19833333333333,0.5983333333333333,4489.651041666667,0.0,0.0,0.0,0.0849999999999982,2.9749999999999965,4.317999999999999,4.521999999999999,4.521999999999999,4.521999999999999,4.521999999999999,0.24825,2024-03-23 14:00:00
6813,2271,0.3048,0.0,22.186666666666667,0.6123333333333333,4490.526041666667,0.0,0.0,0.0,0.0679999999999982,2.9749999999999965,3.9949999999999983,4.521999999999999,4.521999999999999,4.521999999999999,4.521999999999999,0.202,2024-03-23 15:00:00
6814,2271,0.5588,0.0,22.186666666666667,0.6123333333333333,4490.526041666667,0.0,0.0,0.0,0.0679999999999982,2.9749999999999965,3.9949999999999983,4.521999999999999,4.521999999999999,4.521999999999999,4.521999999999999,0.2434999999999999,2024-03-23 15:00:00
6815,2271,0.762,0.0,22.186666666666667,0.6123333333333333,4490.526041666667,0.0,0.0,0.0,0.0679999999999982,2.9749999999999965,3.9949999999999983,4.521999999999999,4.521999999999999,4.521999999999999,4.521999999999999,0.248,2024-03-23 15:00:00
6816,2272,0.3048,0.0,22.146666666666665,0.6208333333333333,4491.401041666667,0.0,0.0,0.0,0.0679999999999982,2.9749999999999965,3.620999999999999,4.521999999999999,4.521999999999999,4.521999999999999,4.521999999999999,0.202,2024-03-23 16:00:00
6817,2272,0.5588,0.0,22.146666666666665,0.6208333333333333,4491.401041666667,0.0,0.0,0.0,0.0679999999999982,2.9749999999999965,3.620999999999999,4.521999999999999,4.521999999999999,4.521999999999999,4.521999999999999,0.2434999999999999,2024-03-23 16:00:00
6818,2272,0.762,0.0,22.146666666666665,0.6208333333333333,4491.401041666667,0.0,0.0,0.0,0.0679999999999982,2.9749999999999965,3.620999999999999,4.521999999999999,4.521999999999999,4.521999999999999,4.521999999999999,0.248,2024-03-23 16:00:00
6819,2273,0.3048,0.0,21.473333333333333,0.5501666666666667,4492.276041666667,0.0,0.0,0.0,0.0509999999999982,2.9749999999999965,3.4849999999999985,4.521999999999999,4.521999999999999,4.521999999999999,4.521999999999999,0.202,2024-03-23 17:00:00
6820,2273,0.5588,0.0,21.473333333333333,0.5501666666666667,4492.276041666667,0.0,0.0,0.0,0.0509999999999982,2.9749999999999965,3.4849999999999985,4.521999999999999,4.521999999999999,4.521999999999999,4.521999999999999,0.2434999999999999,2024-03-23 17:00:00
